TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE,MSE(X),NMSE(X),MAPE(X),MSE(Y),NMSE(Y),MAPE(Y),MSE(Z),NMSE(Z),MAPE(Z)
140.0,340.0,0.2,0.1,0.9,0.4,4.2477744658725475e-10,9.191238114302858e-13,0.007330007596126623,1.1881049675748732e-11,5.148519471622105e-14,0.0002877529822149337,2.0961777511432707e-10,1.1719918866777043e-12,0.0015720696953943115,2.0327862179717892e-10,3.8695832660790595e-12,0.005470184918517379
140.0,360.0,0.2,0.1,0.9,0.4,6.707535662774745e-10,1.4513613642168055e-12,0.00864319171306797,1.0077208182489543e-11,4.366845014800211e-14,0.00026529456518561604,3.2848633620327165e-10,1.8365967328140293e-12,0.0019621706009587793,3.321900218917133e-10,6.323522554935236e-12,0.006415726546923573
140.0,380.0,0.2,0.1,0.9,0.4,4.419525339648522e-10,9.562868762280374e-13,0.007470833434402715,1.3007376995689715e-11,5.636600768847272e-14,0.00030070346145303587,1.967717558355467e-10,1.1001686342716304e-12,0.0015211109906979811,2.3217340113361578e-10,4.41962022328001e-12,0.005649018982251699
140.0,400.0,0.2,0.1,0.9,0.4,4.760527367843235e-10,1.030072122214585e-12,0.007590434524865799,1.0644590567933294e-11,4.6127138007270286e-14,0.00026966583711212093,2.245344848974384e-10,1.2553925564548615e-12,0.001599618005399377,2.4087366131895193e-10,4.585237153019435e-12,0.005721150682354302
150.0,20.0,0.2,0.1,0.9,0.4,2.482868931166977e-9,5.490921517122884e-12,0.01985686136945823,2.007925654292765e-12,8.88558195576284e-15,0.00011841838168733365,1.2022435766171535e-9,6.778774548010901e-12,0.003290877136824809,1.2786174288955303e-9,2.6175821613507218e-11,0.01644756585094609
150.0,40.0,0.2,0.1,0.9,0.4,4.3362561224827217e-10,9.589729746831715e-13,0.008403283120331135,3.4024141811388525e-12,1.5056548527742926e-14,0.0001648717869970739,1.7623992210893017e-10,9.937176804862072e-13,0.0013531164041061822,2.539832759582031e-10,5.199538794054164e-12,0.006885294929227877
150.0,60.0,0.2,0.1,0.9,0.4,1.4022357093460217e-9,3.101076392666147e-12,0.012420886159761387,1.9549302973497644e-12,8.651064016124384e-15,0.00011678942844329348,8.207744952233406e-10,4.627885202374632e-12,0.003151491835599525,5.795062838253317e-10,1.1863637055551005e-11,0.00915260489571857
150.0,80.0,0.2,0.1,0.9,0.4,1.0107317355885475e-9,2.235256386398786e-12,0.010534575235591793,7.695714185749782e-12,3.4055493518604214e-14,0.00023077124901124205,5.035684102158686e-10,2.8393387070186642e-12,0.002478696094432763,4.994676111869288e-10,1.0225087502089606e-11,0.007825107892147787
150.0,100.0,0.2,0.1,0.9,0.4,6.254003091177088e-10,1.3830871098522705e-12,0.008374358045401091,9.519668358805805e-12,4.212695485662539e-14,0.0002612542940124626,3.157585820460726e-10,1.7803848412421529e-12,0.0019950891805026482,3.001220587128303e-10,6.144090713616776e-12,0.006118014570885982
150.0,120.0,0.2,0.1,0.9,0.4,7.874130986018516e-10,1.741382105073568e-12,0.009045469292876486,8.785356256807796e-12,3.8877436952681897e-14,0.0002490324372146578,3.8029066511226433e-10,2.1442449197880567e-12,0.002003306449842582,3.9833707723277967e-10,8.154745931077882e-12,0.006793130405819247
